ZTF19abpxiff 0.055000 II
58763.4149074 1 20.5392 0.237213
58757.4185417 1 20.1819 0.230079
58750.3760069 1 20.0919 0.350001
58747.4811806 1 19.9283 0.23986
58735.4184838 1 19.7449 0.137914
58732.4181829 1 19.5816 0.171035
58727.4381713 1 19.3358 0.134762
58724.4387269 1 19.1466 0.107303
58718.4522685 1 18.8651 0.142844
58709.4555671 1 19.7863 0.308404
