ZTF18abdiasx 0.020000 Ia
58665.4353241 2 18.7574 0.0906601
58661.431331 2 18.4586 0.0792826
58655.4555208 2 18.5378 0.118758
58652.443669 2 18.1626 0.0831792
58646.4681829 2 17.9712 0.078189
58643.4720949 2 17.8841 0.0835956
58640.469213 2 17.7716 0.0788876
58637.4340625 2 17.715 0.0556768
58634.4338773 2 17.5677 0.0717133
58628.4837153 2 17.1226 0.045472
58607.496331 2 16.6189 0.0360007
58601.4956944 2 16.1791 0.0261991
58370.2893287 2 18.7482 0.182052
58367.3211458 2 18.7806 0.185056
58361.3072917 2 19.3652 0.171492
