ZTF19acvgjme 0.070000 Ia
58854.1233912 2 19.096 0.21604
58838.0943403 2 18.8643 0.108317
58835.0873032 2 18.8541 0.253131
58833.0860764 2 18.5003 0.0733402
58831.0703009 2 18.4616 0.086383
58828.1272917 2 18.3998 0.123401
58820.1073148 2 18.273 0.249236
58814.149294 2 19.0501 0.185999
58814.1470023 2 18.9834 0.337416
58811.1434491 2 19.9949 0.24027
