ZTF19acbykmk 0.061000 Ia
58804.1893056 1 19.9016 0.305441
58801.1728935 1 19.6717 0.283332
58798.1680671 1 19.2891 0.341841
58792.1899653 1 19.0 0.149926
58789.2079051 1 19.0319 0.169546
58785.210463 1 18.5602 0.106044
58781.2102315 1 18.2991 0.116063
58778.2831597 1 18.0419 0.0942275
58769.2509491 1 17.6928 0.0836014
58765.2723495 1 17.8841 0.0695594
58758.3351736 1 18.8977 0.115923
