ZTF19aanhlzn 0.083000 Ia
58636.2254514 2 20.316 0.207777
58633.2084954 2 20.1926 0.232694
58612.2470255 2 19.3837 0.0945638
58608.2689815 2 19.3037 0.181108
58606.2728704 2 19.0416 0.0872029
58606.2589699 2 19.1865 0.17722
58602.2872338 2 18.9667 0.144503
58597.3522569 2 18.831 0.0861568
58594.3368634 2 18.661 0.151532
58593.3477778 2 18.8596 0.206402
58591.3795949 2 18.9571 0.205722
58587.3078704 2 18.5329 0.0962912
58583.2996759 2 18.3937 0.0819345
58580.3563542 2 18.2605 0.0675772
58575.394294 2 18.1765 0.065673
58572.3585185 2 18.2447 0.0690789
58567.3762384 2 18.3964 0.0753537
