ZTF19aaflnii 0.141000 Ia
58522.4402083 1 19.5885 0.135505
58522.4301042 1 19.5203 0.187064
58522.4291898 1 19.5997 0.12087
58522.413669 1 19.643 0.125673
58522.4127546 1 19.59 0.2101
58522.4113426 1 19.618 0.122315
58511.4671644 1 19.6778 0.157345
58511.466713 1 19.6289 0.15232
58511.4221991 1 19.795 0.174712
