ZTF19aarixue 0.070000 Ia
58654.1919792 2 19.6177 0.153808
58640.2331366 2 18.9317 0.108726
58637.2076736 2 18.86 0.0959847
58634.2698958 2 18.7072 0.0742696
58628.2868287 2 18.6894 0.0931741
58618.2380556 2 18.1151 0.0724946
58616.2981019 2 18.1096 0.0790205
58612.2474653 2 17.9542 0.0693925
58608.2689815 2 17.9303 0.0499361
58606.3038773 2 18.0605 0.0744298
58606.2589699 2 18.0287 0.0685604
58602.2872338 2 18.1949 0.0742828
58596.274456 2 19.0695 0.139549
