ZTF18acusbdy 0.070000 Ia
58522.2166319 2 20.4159 0.179367
58513.4078588 2 19.6542 0.182764
58507.2524074 2 19.6079 0.150364
58490.2222338 2 18.9696 0.109225
58486.4437153 2 18.8489 0.0808541
58480.321956 2 18.4186 0.0896262
58474.3287037 2 18.2947 0.0857638
58471.2679977 2 18.198 0.0961657
58464.3068981 2 18.6978 0.101197
58461.5131713 2 19.1691 0.114495
