ZTF20aafciit 0.080000 Ia
58912.4779977 2 19.9005 0.167954
58911.4720602 2 19.9508 0.195721
58908.4672222 2 19.7347 0.130003
58906.4570255 2 19.676 0.139941
58904.488125 2 19.5132 0.138179
58903.4504977 2 19.4872 0.110291
58901.4499537 2 19.3007 0.129867
58899.4760417 2 19.3167 0.103035
58898.4694444 2 19.3239 0.101069
58893.5365278 2 19.1219 0.107391
58890.4673495 2 18.8247 0.153832
58887.4929514 2 19.0297 0.121179
58884.5343519 2 18.8027 0.117512
58881.5316204 2 18.6464 0.0792609
58878.5477199 2 18.5767 0.109808
58875.5335995 2 18.4321 0.071188
58872.5480787 2 18.4535 0.0703191
58867.4936111 2 18.6461 0.0786002
58862.4102315 2 19.2146 0.17116
58859.4717245 2 19.8824 0.243342
