ZTF19aanmeyw 0.060000 Ia
58616.3575231 2 19.6842 0.130695
58608.3563542 2 19.3062 0.105128
58606.3560532 2 19.2917 0.113238
58605.3975116 2 19.1437 0.0839992
58597.3979282 2 19.0834 0.106957
58597.3814931 2 18.9286 0.0934433
58591.3986458 2 18.9903 0.183179
58591.3981944 2 18.8804 0.184468
58587.3788657 2 18.7098 0.137136
58584.3929282 2 18.453 0.0698727
58584.3920139 2 18.5271 0.0810814
58577.4369792 2 18.1981 0.202993
58577.4351505 2 18.2983 0.108034
58573.4384375 2 18.4058 0.0796022
58573.4361921 2 18.3703 0.0715558
58568.4809259 2 18.6558 0.135264
