ZTF19acbjlnt 0.056000 Ia-91T
58788.2271528 2 18.9904 0.14923
58781.234919 2 18.7036 0.158176
58777.1913889 2 19.0232 0.100761
58774.1933449 2 18.6866 0.0950783
58771.2650231 2 18.531 0.106446
58763.1667361 2 18.3726 0.0806876
58762.165463 2 18.5213 0.0871732
58761.1657176 2 18.4219 0.0845358
58760.1667361 2 18.511 0.0749691
58758.1742824 2 18.4935 0.089207
58754.1652662 2 19.4091 0.138563
