ZTF20aannodx 0.090000 Ia
58915.1978935 1 19.0857 0.190104
58915.1792477 1 19.085 0.148167
58914.1926736 1 19.0255 0.354436
58912.1599074 1 18.9441 0.103188
58912.1594676 1 18.938 0.144833
58909.1779977 1 18.8745 0.260488
58909.1775347 1 18.8915 0.227114
58906.2663426 1 18.8103 0.162751
58904.1552083 1 18.8497 0.118405
58903.2351157 1 18.9021 0.105361
58898.2148264 1 19.2759 0.110838
58898.2134722 1 19.2809 0.131434
