ZTF18abcvush 0.050000 Ia
58333.1611227 2 19.2555 0.149352
58326.291875 2 18.9247 0.171099
58322.251794 2 18.7668 0.109057
58319.2510069 2 18.679 0.085351
58314.1889699 2 18.4778 0.091541
58311.1915162 2 18.3282 0.0890723
58308.2320833 2 18.1718 0.0620229
58296.3107176 2 18.4735 0.129878
58293.294838 2 19.2062 0.169364
