ZTF18abwlonm 0.070200 Ia
58440.5054977 2 19.7274 0.154768
58434.4990972 2 19.5655 0.189232
58430.4975463 2 19.454 0.0969306
58427.4628125 2 19.2855 0.147092
58390.5019676 2 17.9897 0.0684249
58387.4828009 2 18.052 0.0921317
58383.5267824 2 18.1984 0.0744973
58379.5262037 2 18.4238 0.0889325
58376.5244444 2 18.7018 0.141562
