ZTF18aazabmh 0.973000 Ia
58343.3302662 2 20.3646 0.20874
58322.2855671 2 20.0534 0.184845
58310.3921181 2 19.4697 0.165725
58297.3231829 2 18.963 0.171323
58293.2556944 2 18.7863 0.09009
58290.3315509 2 18.85 0.0888095
58287.2673148 2 18.8777 0.0464113
58284.321412 2 18.9314 0.0838409
58281.3417708 2 19.3359 0.0740117
58278.3072222 2 20.3231 0.177705
