ZTF20aanyxvu 0.040000 Ia
58917.203669 1 17.7216 0.136032
58915.1764236 1 17.8177 0.0691534
58912.1571644 1 17.7627 0.0608121
58909.229537 1 17.8544 0.094474
58909.1848958 1 17.8128 0.073332
58906.2640509 1 17.9826 0.05839
58903.2392477 1 18.3269 0.0702329
58899.2281019 1 19.1369 0.10707
58898.237037 1 19.5068 0.119481
58898.2046759 1 19.4495 0.113846
58895.159456 1 20.6766 0.266306
