ZTF18abvtrnc 0.090000 Ia
58397.5045023 2 19.2406 0.117096
58397.453206 2 19.4311 0.101044
58389.4930556 2 19.0467 0.100364
58387.4569329 2 19.0149 0.137226
58386.4490162 2 18.9938 0.127225
58386.3751505 2 18.8809 0.136727
58386.3718519 2 18.9852 0.143254
58383.5132292 2 19.1088 0.0927919
58383.5076273 2 19.0699 0.0834505
58380.4466551 2 19.3976 0.171107
58380.4461921 2 19.3103 0.0989129
58378.5258449 2 19.4764 0.1732
58377.4714352 2 19.5369 0.117264
58377.4709722 2 19.7677 0.14405
58375.5226042 2 19.5395 0.192879
58374.5073495 2 20.3126 0.189564
