ZTF19aathllr 0.055000 II
58697.1875694 2 20.2053 0.19448
58694.1893519 2 20.0968 0.14612
58691.1906829 2 20.1539 0.196215
58684.1724421 2 20.005 0.226505
58681.278125 2 19.742 0.254835
58675.2528125 2 20.0426 0.219574
58672.2295023 2 19.8435 0.178986
58669.3290046 2 19.9024 0.167317
58663.2997454 2 19.7538 0.154622
58657.3419444 2 19.7125 0.183097
58653.4015741 2 19.6725 0.275838
58650.3151505 2 19.5312 0.210229
58647.2745833 2 19.3713 0.136434
58644.3141667 2 19.1285 0.113927
58641.3321875 2 19.0049 0.0949856
58638.3110764 2 18.874 0.117036
58635.3590625 2 18.7574 0.101197
58632.3309722 2 18.7265 0.0834936
58627.3778935 2 18.5862 0.0780948
58618.2417708 2 18.4786 0.0862392
58616.3970718 2 18.3942 0.0686496
58612.4201968 2 18.464 0.0817818
58608.3800231 2 18.662 0.100448
58605.4201852 2 19.6034 0.159702
