ZTF19abdoznh 0.037000 Ia
58743.1189931 1 20.338 0.27642
58727.1693519 1 19.9919 0.163207
58723.1701505 1 19.8946 0.221212
58716.186875 1 19.5204 0.13762
58710.1495833 1 18.9364 0.14337
58707.2696181 1 18.7897 0.122805
58704.2706713 1 18.5787 0.0803863
58700.255625 1 18.2086 0.0590646
58684.2148843 1 17.162 0.0488046
58678.2897685 1 17.3325 0.0471829
58675.3304745 1 17.6495 0.0669279
58672.3147569 1 18.3422 0.0650076
