ZTF20aamqslk 0.086400 Ia
58914.3835995 2 19.0537 0.114671
58913.2455324 2 18.9901 0.126054
58913.2073495 2 18.9096 0.111851
58911.226412 2 18.9582 0.110492
58909.3213426 2 18.8407 0.0727804
58905.2444444 2 18.7026 0.0878152
58904.2424421 2 18.6346 0.077414
58903.3914583 2 18.6136 0.0629995
58900.2586574 2 18.6249 0.0688137
58899.3414352 2 18.6348 0.072399
58899.2827662 2 18.6399 0.086268
58898.3668981 2 18.7229 0.081765
58896.3099421 2 18.6154 0.0826352
58895.4475463 2 18.6749 0.10151
58894.2791435 2 18.9129 0.0957302
58894.2772917 2 18.8446 0.097431
58893.294838 2 18.957 0.106413
58892.2977315 2 18.9631 0.102653
58891.3322685 2 19.2107 0.124432
58891.3220833 2 19.0518 0.103935
