ZTF19abtnftd 0.080000 Ia
58764.1225579 2 20.0291 0.207442
58761.1405903 2 19.9366 0.189
58754.1406134 2 19.6208 0.120301
58750.2660764 2 19.465 0.157053
58737.2844792 2 18.8893 0.139511
58736.2698611 2 18.9963 0.115221
58735.260162 2 18.9495 0.10518
58734.2614815 2 18.8861 0.0764033
58733.2597685 2 18.9248 0.0847616
58732.260162 2 18.9786 0.103465
58727.2860301 2 19.2429 0.0931842
58726.2612731 2 19.3417 0.107
58725.2598148 2 19.4595 0.107739
58724.2858796 2 19.6464 0.122202
58723.2858218 2 19.9232 0.139334
58722.2613194 2 20.1712 0.164936
58721.2614236 2 20.4453 0.314631
