ZTF20aaoojli 0.051066 Ia
58955.2000347 2 19.768 0.158051
58944.1523727 2 19.2834 0.161358
58938.1727546 2 18.8295 0.0763631
58915.3620718 2 17.8117 0.0760733
58912.1724653 2 17.825 0.0468221
58909.1615278 2 17.9369 0.115376
58909.1205787 2 17.8063 0.0965149
58906.1945023 2 17.9739 0.05495
58903.1932639 2 18.2681 0.0619512
58903.1816204 2 18.3162 0.0622033
58899.3104977 2 19.0689 0.089085
58898.1627083 2 19.5391 0.1206
