ZTF19abxjrge 0.021705 II
58846.2150116 1 20.6997 0.291052
58836.2143981 1 20.5667 0.239084
58833.177338 1 20.4171 0.391438
58811.2623958 1 20.2373 0.308052
58811.2304051 1 20.2461 0.275543
58791.2958565 1 20.0934 0.2745
58790.2841551 1 20.2536 0.289126
58789.3474537 1 20.1724 0.307797
58788.3572801 1 20.0237 0.223101
58781.3904398 1 20.1246 0.33251
58777.4830208 1 19.8457 0.248227
58766.4219792 1 19.3763 0.177439
58763.4112963 1 19.2808 0.126352
58759.420081 1 18.9243 0.0871194
58758.4200926 1 18.8092 0.0871519
58756.4138657 1 18.6027 0.0699298
58751.4512037 1 18.204 0.116195
58750.4328356 1 18.2195 0.081852
58749.3971296 1 18.1933 0.084715
58749.3851389 1 18.2187 0.079567
58746.4802431 1 18.3673 0.0881494
58746.4396065 1 18.3897 0.0873238
58737.4516435 1 19.9493 0.194681
58735.4408681 1 20.5463 0.300594
58734.4518056 1 20.6628 0.404341
58732.4389583 1 19.3397 0.111515
