ZTF20aahqbsr 0.022055 II
58973.2688426 1 20.1222 0.26631
58972.2879167 1 20.2519 0.264557
58970.312662 1 20.2001 0.180017
58968.2900231 1 20.3282 0.178978
58967.2758449 1 20.1551 0.19163
58966.4159722 1 20.1343 0.174372
58965.4022685 1 20.0568 0.170863
58964.3565856 1 20.2545 0.194355
58963.2948727 1 20.1381 0.134362
58962.3750116 1 20.2753 0.196475
58955.3991782 1 20.2757 0.164578
58943.4217477 1 19.8446 0.165419
58941.4785185 1 19.9231 0.132931
58914.4810301 1 19.3754 0.139238
58911.4293866 1 19.5702 0.122884
58890.5440625 1 19.1385 0.184575
58887.4620023 1 19.0201 0.147467
58884.4658449 1 18.9131 0.0917294
58881.5207292 1 18.9281 0.0748803
58878.540463 1 18.9083 0.0954942
58875.4832407 1 18.9024 0.077834
58872.4448032 1 19.0241 0.0986825
