ZTF19acyplkt 0.031000 Ia
58891.1849421 1 19.5584 0.144112
58879.1618981 1 18.79 0.10711
58878.1960532 1 18.8274 0.14412
58876.1714699 1 18.8141 0.0890375
58876.1714699 1 18.7731 0.08632
58875.1644444 1 18.7509 0.0807097
58872.1868519 1 18.7958 0.0843323
58862.1465509 1 18.6674 0.0663314
58859.1274653 1 18.6956 0.159805
58851.1684259 1 18.3619 0.176907
58837.2163079 1 17.5427 0.0449917
