ZTF20aapchqy 0.003900 II
58987.4319907 1 18.0868 0.056393
58986.3997338 1 18.0886 0.0485224
58985.4467708 1 18.1048 0.0747982
58981.325162 1 18.1773 0.0964856
58980.4147106 1 18.0789 0.0950632
58979.2571412 1 18.1292 0.0721491
58978.4311806 1 18.1171 0.0959013
58977.3872801 1 18.06 0.0811793
58976.4654282 1 18.1682 0.0861488
58975.2446412 1 18.1666 0.0792242
58974.471331 1 18.2394 0.0942768
58973.4521759 1 18.3017 0.0760636
58972.4691551 1 18.2154 0.0627049
58971.4530903 1 18.2722 0.0741951
58970.4563426 1 18.3028 0.0581714
58968.4462963 1 18.3295 0.0620209
58968.4462963 1 18.3295 0.062021
58967.4295255 1 18.3498 0.077148
58966.4263542 1 18.3046 0.0743812
58965.423206 1 18.3278 0.0637255
58964.3913194 1 18.3395 0.069886
58963.4577083 1 18.3201 0.0768943
58963.3860764 1 18.35 0.0719209
58962.4947454 1 18.3961 0.104486
58956.3890046 1 18.5089 0.193448
58955.4652662 1 18.3915 0.0743958
58954.4050579 1 18.382 0.0791745
58944.4932755 1 18.3874 0.0929039
58943.4296296 1 18.398 0.133506
58941.4950231 1 18.3931 0.0775338
58940.4890856 1 18.2874 0.0719557
58936.4856019 1 18.3321 0.0744384
58915.4677894 1 18.0811 0.078986
58913.5197106 1 18.0405 0.0649866
58912.5349769 1 17.9835 0.0689862
58911.5462963 1 17.9731 0.0653324
58908.5535764 1 17.8568 0.0617676
58908.5535764 1 17.8568 0.061768
58903.533125 1 17.7541 0.0522132
58900.5392361 1 17.6603 0.0739221
58899.5385069 1 17.6542 0.046579
58898.5523727 1 17.6264 0.043565
