ZTF19aamgghn 0.029680 Ia-91bg
58637.1717361 2 19.9416 0.172853
58634.2605903 2 19.7567 0.163784
58617.2210648 2 19.4555 0.176004
58606.1829398 2 19.2264 0.104345
58601.2654977 2 19.0904 0.0997117
58594.1634028 2 18.9266 0.11771
58591.339838 2 18.7292 0.311065
58587.2944907 2 18.4962 0.0887401
58580.3193981 2 18.1376 0.0660901
58572.2213426 2 17.9229 0.0663955
58567.2210069 2 17.9767 0.051555
58562.3415278 2 18.4001 0.110727
58559.2206597 2 18.8477 0.0917398
