ZTF19acwrujg 0.060000 Ia
58864.1139699 1 20.9527 0.257069
58863.1459375 1 21.0594 0.345567
58852.1404977 1 20.0783 0.183811
58850.1656829 1 19.9604 0.185933
58849.1392014 1 20.0102 0.181354
58849.0959722 1 19.8558 0.136693
58846.2196644 1 19.8081 0.117275
58836.1346991 1 18.8946 0.0856938
58833.1848495 1 18.7116 0.0816691
58831.1954514 1 18.6888 0.101302
58830.1843056 1 18.6447 0.0825898
58830.1295718 1 18.6581 0.0983988
58820.2232407 1 19.0754 0.116901
58820.1627778 1 18.9469 0.151125
58819.2203241 1 19.1559 0.104602
