ZTF20aautzig 0.064900 Ia
58985.191169 1 20.3568 0.16188
58980.2004282 1 20.1195 0.194793
58974.2009144 1 19.5309 0.282363
58971.2612269 1 19.1113 0.130541
58970.2390972 1 18.9903 0.121962
58968.278044 1 18.8712 0.0928021
58968.2595718 1 18.8627 0.0862209
58965.2385185 1 18.6046 0.078099
58962.239838 1 18.3485 0.0659895
58954.3026852 1 18.3631 0.0733693
