ZTF18abryqnn 0.063000 Ia
58390.3332407 1 20.2185 0.212501
58382.2688773 1 19.6051 0.189679
58378.3187153 1 19.1508 0.0895568
58375.3090972 1 18.8303 0.0731606
58372.2866667 1 18.5972 0.0743196
58369.323912 1 18.448 0.0646136
58369.3098264 1 18.4434 0.0717294
58366.4032639 1 18.4084 0.0638873
58360.4059028 1 18.4559 0.131509
