ZTF19aantarc 0.099000 Ia
58612.2479282 2 19.8832 0.138457
58606.2112847 2 19.635 0.122567
58600.277037 2 19.3903 0.12389
58596.2582523 2 19.2262 0.109082
58592.293669 2 19.0582 0.202587
58589.2589352 2 18.9306 0.139222
58586.3320255 2 19.0141 0.119676
58583.2790162 2 18.9952 0.111603
58580.3447106 2 19.1203 0.138109
58575.3933681 2 19.5351 0.208263
58572.3576157 2 20.1066 0.206808
