ZTF19aaldqvh 0.101000 Ia
58580.2176389 2 20.021 0.201865
58572.278588 2 19.44 0.200622
58567.2454167 2 19.6465 0.192423
58567.2242245 2 19.5966 0.136382
58562.3405671 2 19.4204 0.266076
58560.3447685 2 19.5387 0.23283
58559.2393866 2 19.2359 0.187354
58557.2609144 2 19.005 0.156178
58547.2026505 2 18.8547 0.0750706
