ZTF18acbwarv 0.060000 Ia
58486.4915741 2 20.1847 0.168394
58471.5381597 2 19.9178 0.157998
58471.5358565 2 19.7593 0.155059
58464.5370139 2 19.4266 0.114481
58461.5336227 2 19.3256 0.13765
58461.5326968 2 19.2156 0.133716
58455.5229398 2 18.9877 0.0949075
58455.4766782 2 18.9705 0.086789
58450.5264236 2 18.8581 0.0880865
58447.5366088 2 18.8824 0.141569
58447.5352199 2 18.8133 0.134128
58447.4840394 2 18.8622 0.107193
58447.466169 2 18.8636 0.0984525
58443.4696759 2 18.6641 0.0775741
58441.5260185 2 18.5993 0.0987692
58438.5352083 2 18.3708 0.0688174
58432.5346644 2 18.0597 0.0560771
58432.5342014 2 18.1384 0.0555562
58429.5258333 2 18.1368 0.0571974
58426.5244213 2 18.0118 0.0630212
58426.5068519 2 18.2267 0.0620399
58423.541412 2 18.2117 0.0645077
58423.5409375 2 18.1805 0.0641952
