ZTF19aajxwnz 0.015000 Ia
58705.469375 2 20.4492 0.283367
58599.153831 2 17.3404 0.0415051
58592.2208796 2 17.0913 0.0485102
58584.1634259 2 16.7552 0.0325409
58584.1619907 2 16.7594 0.0350909
58581.1590509 2 16.5538 0.048682
58581.1421991 2 16.5663 0.0604482
58573.1415394 2 16.169 0.0376569
58567.1396991 2 16.0356 0.0264025
58562.1628588 2 15.9912 0.0274257
58562.1595023 2 16.0082 0.0264083
58559.2272222 2 15.8912 0.0251916
58559.1801968 2 15.8936 0.0276253
58558.2016088 2 15.7962 0.0328952
58556.1784722 2 15.7138 0.028792
58556.1734954 2 15.6999 0.026387
58547.1664931 2 15.2395 0.0257903
58543.2427431 2 15.349 0.0299881
58540.2364005 2 15.3663 0.0384767
58538.198206 2 15.2652 0.281145
58534.3288079 2 16.0003 0.0314693
58534.2131944 2 16.0974 0.0459022
58534.2122801 2 16.0397 0.0372269
58526.1976505 2 20.1028 0.27062
58526.1971644 2 19.6869 0.142738
