ZTF19acjtpqd 0.017170 Ic
58979.2430324 1 19.9688 0.214131
58978.3853356 1 19.8639 0.312253
58973.4469907 1 20.2806 0.247837
58970.4483333 1 19.9388 0.171119
58966.4248611 1 20.0447 0.159115
58965.4162269 1 19.962 0.111408
58964.3638889 1 19.9867 0.113175
58963.5029745 1 19.821 0.217499
58963.4331366 1 19.8661 0.144537
58963.3830093 1 20.0302 0.150533
58943.4566898 1 19.7992 0.136101
58914.4953819 1 19.3774 0.125267
58911.5304167 1 19.1887 0.121817
58906.5261343 1 19.2312 0.139728
58903.5283912 1 19.2564 0.121678
58893.4825579 1 19.2955 0.124452
58890.5486574 1 18.9795 0.222635
58887.4642824 1 18.9305 0.142205
58884.422662 1 18.9762 0.192296
58881.5193634 1 19.1341 0.105426
58878.5386343 1 19.1234 0.12954
58875.4860069 1 18.9527 0.146556
58872.4498032 1 19.2124 0.14126
58864.465787 1 18.9817 0.139733
58861.5152083 1 18.9974 0.234547
58854.5573148 1 18.7363 0.12465
58851.5576042 1 18.8082 0.116665
58837.5510185 1 18.5399 0.160715
58798.104375 1 17.0071 0.0521854
58785.1168403 1 18.9117 0.118132
