ZTF18abokpvh 0.080000 Ia
58382.1998843 1 19.561 0.190113
58379.174456 1 19.3336 0.119949
58378.1797454 1 19.2017 0.0965261
58376.2382292 1 19.1106 0.087211
58373.2611458 1 18.9215 0.0871409
58372.267037 1 18.8255 0.0865571
58370.2270718 1 18.8209 0.0943235
58369.2827431 1 18.7168 0.0872537
58367.2654398 1 18.7424 0.0781452
58366.2639931 1 18.6843 0.104921
58364.2226042 1 18.6354 0.0834297
58363.1754861 1 18.7077 0.0964968
58361.2160069 1 18.6574 0.113726
