ZTF19aanijpu 0.050000 Ic
58693.2497222 1 19.573 0.212289
58690.1970718 1 19.5373 0.162292
58685.1874074 1 19.4154 0.124529
58682.1687963 1 19.4308 0.175011
58668.2067708 1 19.4637 0.120835
58665.1928819 1 19.3776 0.127311
58657.1922222 1 19.3917 0.131729
58654.2410532 1 19.3329 0.174392
58651.1924653 1 19.2301 0.260231
58643.1938889 1 18.9195 0.123807
58640.1919213 1 18.7796 0.0995843
58637.2325231 1 18.631 0.0990774
58634.2377315 1 18.5133 0.085531
58628.2129745 1 18.235 0.0818076
58616.2311458 1 18.192 0.0774862
58612.2738889 1 18.111 0.0715927
58606.3985995 1 18.0902 0.0648844
58600.2363542 1 18.0738 0.0711942
58586.2728819 1 18.2515 0.0862823
58583.3583449 1 18.3451 0.0901283
58580.4005671 1 18.4469 0.0914304
58572.3359838 1 19.0771 0.133842
58567.2941898 1 19.879 0.239024
