ZTF19aaxfzao 0.037000 Ia
58725.171412 1 20.4199 0.272586
58720.1770139 1 20.5932 0.309614
58716.1864236 1 20.4789 0.239173
58700.2560764 1 20.2942 0.241426
58684.2186111 1 20.0395 0.232954
58684.2167824 1 19.6578 0.170997
58681.2282407 1 19.4019 0.212333
58681.2265741 1 19.3471 0.172592
58675.3418171 1 18.9427 0.131439
58675.3408796 1 18.9508 0.129503
58672.3515741 1 18.8068 0.0860234
58672.3319213 1 18.7118 0.1049
58669.2862269 1 18.5038 0.0926765
58669.2819907 1 18.4429 0.0768665
58666.2382755 1 18.2598 0.0686866
58666.2373611 1 18.2067 0.0968839
58660.3413079 1 17.7561 0.0495723
58660.3393287 1 17.736 0.0687764
58657.4444792 1 17.631 0.05661
58657.2364583 1 17.5903 0.059269
58653.3710532 1 17.5218 0.0544445
58653.3412731 1 17.5583 0.0692092
58650.4433796 1 17.5534 0.0499434
58650.4429282 1 17.5216 0.0643417
58647.3937269 1 17.6394 0.0686016
58647.3913773 1 17.6716 0.055149
58644.3539352 1 17.976 0.0725533
58641.4341435 1 18.5587 0.0871612
58641.4309259 1 18.5697 0.0792649
58638.3712616 1 19.9998 0.213522
