ZTF19acchaza 0.035000 II
58812.3235532 1 20.8374 0.387546
58811.239537 1 20.5632 0.356029
58806.2001042 1 20.2036 0.219371
58804.2010532 1 20.0912 0.317736
58803.2234491 1 19.7625 0.259641
58802.209838 1 20.3202 0.330569
58802.2014236 1 19.8718 0.20943
58797.2339815 1 19.8386 0.296224
58796.2698611 1 19.7409 0.220048
58795.2071759 1 19.9414 0.249154
58794.2676389 1 19.8477 0.200141
58792.3534028 1 19.9088 0.157384
58791.3044907 1 19.7607 0.151041
58791.2688079 1 19.7051 0.171247
58790.3015394 1 19.7942 0.182977
58789.3604282 1 19.8179 0.199136
58784.407037 1 19.4531 0.251861
58781.4059606 1 19.5066 0.144564
58769.5085417 1 18.6653 0.128144
58766.4294213 1 18.5438 0.0776604
58763.4036227 1 18.4832 0.0639321
58759.4234954 1 18.6465 0.0756071
