ZTF18aaxtcdm 0.075000 Ia
58307.2084144 2 19.3364 0.119666
58298.27125 2 19.2095 0.190591
58295.2719329 2 19.042 0.149875
58292.2536343 2 18.7969 0.150283
58289.2514815 2 18.6641 0.0850753
58286.2749421 2 18.5038 0.0330551
58283.2276852 2 18.4353 0.0344559
58279.2522917 2 18.5047 0.0352564
58272.25 2 18.9918 0.0771858
