ZTF19abxiqve 0.050000 Ia
58750.3716435 1 19.9723 0.191021
58750.3697685 1 20.1055 0.218716
58747.3283681 1 19.5357 0.168167
58747.3242245 1 19.7082 0.163048
58741.4907407 1 19.4575 0.222021
58741.4898032 1 19.4265 0.275381
58738.4260417 1 19.4805 0.213255
58735.4365509 1 19.4382 0.114199
58735.4346759 1 19.3914 0.114806
58732.404838 1 19.7773 0.144264
58732.3954167 1 19.7267 0.115715
58727.4435301 1 20.6291 0.320354
