ZTF19aamhhey 0.045000 Ia
58641.2227315 1 20.3713 0.275165
58638.1961111 1 20.646 0.281319
58635.2280903 1 20.3331 0.173426
58616.2889468 1 20.0554 0.233057
58612.306331 1 19.8994 0.141498
58606.448912 1 19.6558 0.137233
58596.2370602 1 19.1459 0.0924966
58592.4352894 1 18.6165 0.118084
58586.4098264 1 18.4085 0.0705114
58583.3661806 1 18.1004 0.06437
58580.4084722 1 17.7899 0.0475695
58575.3450463 1 17.4539 0.0451528
58572.3926968 1 17.3176 0.0399429
58567.4104398 1 17.1462 0.0725311
58567.3997917 1 17.2097 0.0500934
58560.2642824 1 17.488 0.0476196
58556.4644676 1 17.9611 0.0729001
