ZTF18abulkrl 0.030000 Ia
58400.1410648 1 19.5968 0.119173
58390.164456 1 18.9433 0.0879451
58389.1508912 1 18.8985 0.0679109
58388.1322454 1 18.8647 0.0815456
58387.2331829 1 18.7972 0.106378
58386.1286227 1 18.7638 0.115015
58385.1453704 1 18.7191 0.117319
58384.2481713 1 18.7315 0.113717
58383.2389468 1 18.6992 0.123359
58382.2395139 1 18.7383 0.103665
58380.3440278 1 18.8944 0.12793
58379.3257523 1 18.9887 0.0875466
58378.3115741 1 19.0012 0.0821809
58377.2690625 1 19.1537 0.0940831
58376.2348727 1 19.2737 0.0882147
58374.2619907 1 19.6558 0.108445
58373.2663426 1 19.8229 0.140535
58372.2698727 1 20.1321 0.180331
58371.2589352 1 20.7869 0.205366
