ZTF19aaksrgj 0.085900 Ia
58572.3160648 1 19.9484 0.20169
58567.2927894 1 19.6171 0.146931
58560.2331713 1 18.9867 0.167985
58557.3145255 1 19.0592 0.155217
58547.336875 1 18.6933 0.0667745
58547.3364236 1 18.7321 0.0987481
58543.3796759 1 18.5567 0.179921
58543.3796759 1 18.5567 0.179921
58543.3792245 1 18.7784 0.21949
58543.3792245 1 18.7784 0.21949
58539.3798958 1 19.4002 0.154282
