ZTF19adbmewx 0.090000 Ia
58875.1344329 1 20.1092 0.166991
58875.1317245 1 20.3229 0.342511
58872.1627546 1 19.9537 0.214321
58872.1545486 1 19.9698 0.237231
58862.1244329 1 18.9818 0.111387
58862.1110185 1 19.0051 0.0725422
58859.1043403 1 18.8702 0.104194
58856.0902431 1 18.7575 0.0857451
58853.0902431 1 18.6284 0.108842
58850.1590972 1 18.7931 0.123912
58850.1586458 1 18.7661 0.100131
58846.1002199 1 19.0021 0.0840558
58846.0993056 1 18.9572 0.112819
