ZTF19adcdzjm 0.081100 Ia
58880.4651852 1 20.6394 0.2648
58877.3790394 1 20.1392 0.222754
58874.4003241 1 20.0962 0.178843
58871.4330787 1 19.6868 0.136554
58866.5464931 1 19.1716 0.100373
58863.4376273 1 18.9905 0.131851
58855.5085185 1 18.7385 0.0759196
58852.5043287 1 18.906 0.0780168
58849.503669 1 19.1953 0.07134
58846.5187616 1 19.787 0.127384
