ZTF19aatvmbo 0.060000 Ia-91T
58694.3583449 2 20.6119 0.19334
58691.392419 2 20.6252 0.206558
58669.4181944 2 20.0792 0.16662
58661.4231019 2 19.8249 0.176388
58658.3987731 2 19.5075 0.12702
58652.4400231 2 19.5838 0.210735
58646.4621644 2 19.0019 0.0862274
58643.4785301 2 18.9172 0.08493
58640.4641667 2 18.845 0.0730507
58601.4906829 2 20.3295 0.265882
