ZTF20aabqiiy 0.080000 Ia
58881.5198264 1 20.5466 0.295845
58878.5390972 1 20.2588 0.281382
58875.4846181 1 19.8355 0.196403
58872.4493403 1 19.6752 0.159134
58864.4644329 1 19.0284 0.227692
58861.4909375 1 18.7852 0.180496
58856.5490625 1 18.9587 0.0904892
58853.5364815 1 19.131 0.115047
58850.5570023 1 19.5199 0.229238
