ZTF19acgmkrt 0.070400 Ia
58819.149213 2 19.2372 0.12433
58814.1733796 2 18.8795 0.21278
58812.2052431 2 18.8272 0.125724
58811.1503356 2 18.9142 0.147082
58806.2494907 2 18.7801 0.079104
58803.2839005 2 18.8321 0.136034
58801.2858796 2 18.5795 0.133332
58796.2969676 2 18.3391 0.114538
58790.1995023 2 18.1911 0.0857791
58789.1362963 2 18.1682 0.0798956
58788.1359028 2 18.2273 0.0841496
58787.1350116 2 18.4131 0.0929401
58786.1426505 2 18.3941 0.0914853
58785.1357523 2 18.4592 0.0979894
58783.1360995 2 18.5948 0.117226
58781.135787 2 18.5657 0.199912
58778.1360764 2 19.4217 0.136853
