ZTF19abnmnrz 0.110000 Ia
58726.2644792 2 20.1574 0.185181
58725.2635069 2 20.1113 0.202699
58725.2630208 2 20.0854 0.180213
58724.2895718 2 20.025 0.236209
58724.2890856 2 19.7565 0.165762
58723.2895139 2 19.8876 0.144814
58723.2890278 2 19.883 0.22951
58722.2650116 2 19.787 0.196893
58722.264537 2 19.7771 0.156083
58721.2651157 2 19.8364 0.178851
58721.2646412 2 19.7698 0.165549
58720.2859722 2 19.7884 0.165018
58719.2651852 2 19.8628 0.236679
58719.2647106 2 19.7472 0.168174
58718.2862269 2 19.7432 0.193219
58718.2857407 2 19.6667 0.150041
58717.264537 2 19.6862 0.173822
58717.2640509 2 19.5269 0.145079
58716.2857176 2 19.4985 0.119171
58716.2852431 2 19.7362 0.169247
58715.2646065 2 19.5428 0.181114
58715.2641204 2 19.6423 0.190502
58714.1804167 2 19.4801 0.131208
58714.1799306 2 19.6549 0.137611
58711.1802546 2 19.4712 0.130759
58711.1797801 2 19.5569 0.161675
58710.180463 2 19.4509 0.135212
58710.1799884 2 19.4088 0.152991
58709.1976736 2 19.551 0.189012
58709.1957407 2 19.6768 0.177307
58708.1980671 2 19.4551 0.17426
58708.1961458 2 19.5616 0.162277
58707.196713 2 19.6281 0.174223
58707.1947801 2 19.6582 0.175472
58705.1972685 2 19.6675 0.170253
58705.1953472 2 19.5815 0.161686
58704.2794676 2 19.6988 0.171809
58704.2775347 2 19.9124 0.204976
58703.2848611 2 19.6502 0.15865
58703.2829398 2 19.5971 0.155082
58702.2829977 2 19.9125 0.140163
58702.2810648 2 19.6677 0.1545
58701.2835995 2 19.9992 0.245353
58701.2816782 2 19.7066 0.248555
58700.2797338 2 20.2472 0.19817
58699.283206 2 20.4197 0.31504
58699.2812847 2 20.46 0.24784
58697.3022454 2 20.8367 0.376684
58697.3003241 2 20.674 0.281302
