ZTF18aagrgao 0.114000 Ia
58986.3966898 1 20.2109 0.188112
58985.4210764 1 20.1435 0.200822
58973.4641898 1 20.2511 0.252311
58970.464537 1 20.2553 0.169592
58970.4445486 1 20.6029 0.296488
58967.4362847 1 20.089 0.205661
58964.3824537 1 20.2887 0.21861
58964.3598495 1 20.5413 0.247727
58955.4170139 1 20.5593 0.273485
58954.4326157 1 20.2126 0.276168
58903.526956 1 20.5881 0.198812
58894.5593056 1 20.1212 0.278801
58876.5376273 1 20.4621 0.217174
58876.5362731 1 20.2648 0.226378
58672.3017477 1 20.6948 0.216644
58672.3012847 1 20.5647 0.255417
58666.2132523 1 20.4933 0.191078
58666.2128009 1 20.4003 0.258102
58660.2038889 1 20.5703 0.254357
58660.2034259 1 20.6064 0.253831
58657.2373727 1 20.4938 0.302075
58657.2150926 1 20.3397 0.203374
58644.341331 1 20.3422 0.26174
58644.2135417 1 20.4986 0.282053
58641.2121528 1 20.1044 0.277663
58638.3583333 1 20.5677 0.233695
58638.3517014 1 20.2781 0.264569
58635.4205208 1 20.7097 0.244326
58635.4200694 1 20.5613 0.220422
58632.3403009 1 20.7152 0.288636
58632.3366551 1 20.4242 0.240656
58616.4561111 1 20.6145 0.186109
58616.4556597 1 20.4296 0.247942
58608.4031713 1 20.5515 0.272746
58608.317963 1 20.5132 0.28222
58600.3997106 1 20.3349 0.230179
58600.3923611 1 20.5616 0.239662
58586.4575347 1 20.3876 0.207011
58586.4190625 1 20.8137 0.272124
58583.3782986 1 20.3436 0.327175
58580.4370718 1 20.3455 0.288562
58575.501875 1 20.1583 0.274394
58572.4841204 1 20.5095 0.279364
58572.4822454 1 20.6924 0.245015
58556.4841319 1 20.2729 0.285702
58284.3619792 1 19.8484 0.136611
58281.2723032 1 20.324 0.160994
58278.3578704 1 20.4685 0.177946
58278.3369329 1 20.3031 0.161864
58272.25 1 20.4088 0.185639
