ZTF19aawyepw 0.060000 Ia
58666.2502894 1 20.6351 0.28757
58660.2025231 1 20.0004 0.165296
58657.2183449 1 19.7871 0.137594
58653.2786343 1 19.5035 0.211698
58650.2148148 1 19.0769 0.152601
58647.2187037 1 19.3338 0.177848
58644.2158681 1 19.4571 0.140974
58641.2478472 1 19.7265 0.138447
58638.3479282 1 20.4239 0.270211
