ZTF20aaqgmji 0.080000 Ia
58915.2502199 1 19.3195 0.233489
58912.2553241 1 19.093 0.125121
58911.3827778 1 19.1064 0.160069
58909.2778472 1 19.2362 0.162966
58906.2880093 1 19.3466 0.149612
58904.2892014 1 19.5961 0.142648
58904.257338 1 19.5765 0.131275
58903.275706 1 19.6876 0.132434
58898.2766435 1 20.965 0.316014
