ZTF19aauvjws 0.093510 Ia
58670.1879167 2 19.7313 0.145671
58661.1998264 2 19.3856 0.143198
58658.1827199 2 19.2951 0.132829
58658.1827199 2 19.2301 0.13771
58644.2598495 2 18.8063 0.123911
58641.2787847 2 18.582 0.0736122
58638.2254167 2 18.4567 0.0677853
58635.2371412 2 18.3855 0.0753885
58632.1787384 2 18.2936 0.0686251
58628.3032292 2 18.498 0.0658447
