ZTF20aahggbm 0.100000 Ic
58904.2962153 1 20.7519 0.256714
58903.3348727 1 20.3951 0.143917
58900.3300463 1 20.2873 0.180674
58899.3790162 1 20.0846 0.130148
58898.3809838 1 19.9937 0.147092
58894.3537037 1 19.5072 0.115557
58891.4208796 1 18.9491 0.201416
58886.439456 1 18.8319 0.0906316
58883.461169 1 18.7646 0.0818795
58880.4393287 1 18.6994 0.0411034
58877.3961458 1 18.8176 0.068545
58874.3971412 1 19.3221 0.0798614
58871.4408681 1 19.9825 0.144938
