ZTF19abfvpkq 0.050000 Ia
58732.4416898 1 21.1787 0.454763
58724.4707523 1 20.9311 0.350245
58704.4499074 1 20.2363 0.310329
58701.4656134 1 19.8063 0.175991
58698.4766319 1 19.7716 0.213265
58695.4482639 1 19.4528 0.142502
58684.4308449 1 18.617 0.187611
58681.4722338 1 18.2491 0.127685
58678.44375 1 18.1813 0.110794
58675.4582523 1 18.0815 0.0893905
