ZTF18acvwmpw 0.080000 Ia
58606.2426505 2 19.551 0.12985
58514.4355556 2 19.1197 0.164714
58511.3806829 2 19.0324 0.110642
58508.4799884 2 18.9089 0.1574
58508.4739236 2 18.963 0.157437
58505.5271875 2 18.9213 0.205466
58502.5478588 2 18.8116 0.119435
58502.5273727 2 18.7818 0.115018
58494.4531366 2 18.478 0.068659
58494.4526852 2 18.4365 0.0721159
58491.5283565 2 18.2416 0.0704534
58491.5246759 2 18.2685 0.0856105
58486.4844444 2 18.1444 0.0717823
58486.4839815 2 18.153 0.0581137
58476.5040972 2 18.3355 0.0723646
58474.4778704 2 18.5034 0.108202
58471.541169 2 18.8127 0.0896664
