ZTF18aarwxum 0.090000 Ia
58725.2934838 1 20.6311 0.301029
58724.3130093 1 20.6341 0.385632
58723.3129745 1 20.8408 0.326918
58722.2909838 1 20.5983 0.294774
58720.3150926 1 20.5658 0.309328
58719.2968056 1 20.4597 0.321218
58719.2920833 1 20.5169 0.301701
58717.2962153 1 20.3903 0.307842
58715.2958796 1 20.4557 0.370709
58715.2911458 1 20.1313 0.269443
58714.2106366 1 19.9802 0.259041
58714.2059028 1 20.2421 0.204704
58711.2100579 1 19.9024 0.24787
58710.2059491 1 19.5989 0.225624
58709.2270718 1 19.5136 0.193585
58709.2261343 1 19.508 0.180158
58708.2274769 1 19.5822 0.204719
58707.2263542 1 19.5064 0.220876
58706.2285185 1 19.3627 0.164346
58705.2267014 1 19.3601 0.122652
58705.2257639 1 19.3639 0.139316
58704.3078704 1 19.1774 0.114933
58704.3069213 1 19.2667 0.153993
58703.3123958 1 19.1859 0.110638
58703.3114583 1 19.1964 0.112399
58702.311956 1 19.1505 0.11149
58702.3110185 1 19.1669 0.102496
58701.3127778 1 19.0652 0.106974
58701.3118403 1 19.1047 0.097123
58700.3091898 1 19.0225 0.107801
58700.3082523 1 19.0558 0.099586
58699.3126273 1 18.9628 0.104826
58699.3116782 1 18.9348 0.0972319
58697.3296991 1 18.928 0.0843533
58697.32875 1 18.9377 0.0938546
58696.3104167 1 18.8928 0.0878982
58696.3094676 1 18.9663 0.095954
58695.3091204 1 18.7744 0.101091
58695.3081713 1 18.8294 0.0859737
58693.2635069 1 18.85 0.105319
58693.2630556 1 18.8243 0.0861212
58688.3320486 1 18.9819 0.105369
58688.3320486 1 18.9819 0.105369
58685.3668287 1 19.1617 0.141569
58685.3658912 1 19.1864 0.142044
58684.2683449 1 19.1886 0.157061
58684.2674074 1 19.2595 0.135657
58683.2783102 1 19.3589 0.177172
58683.2773727 1 19.4936 0.13292
58682.2003588 1 19.534 0.165987
58680.201875 1 19.8626 0.257403
58680.2014236 1 20.0482 0.281427
