ZTF18aaxwjmp 0.080000 Ia
58308.1986458 1 19.9899 0.161522
58302.1994097 1 19.4682 0.0959812
58300.4517708 1 19.1683 0.154114
58299.2029398 1 19.1801 0.122438
58293.3503009 1 18.8218 0.112392
58293.2200579 1 18.8775 0.131888
58290.2214931 1 18.7118 0.102917
58290.2025 1 18.6893 0.0920531
58284.3699537 1 18.7487 0.0503192
58284.262662 1 18.7166 0.0371174
58281.2830324 1 18.9965 0.0453345
58281.2665856 1 18.8949 0.0402855
58278.3672569 1 19.3918 0.0646348
58278.3657755 1 19.3231 0.0575572
