ZTF18abaelhi 0.023000 II
58962.3104977 2 20.312 0.252828
58956.2968403 2 20.306 0.239
58941.3798264 2 20.1444 0.248881
58911.4554282 2 20.2675 0.294311
58908.4789468 2 20.2217 0.191967
58908.4789468 2 20.2217 0.191967
58904.4983102 2 20.5645 0.267086
58898.5035069 2 20.3122 0.187117
58875.5221065 2 20.2759 0.265894
58850.5041088 2 20.3859 0.261674
58670.1753704 2 20.2027 0.273516
58583.3152778 2 20.376 0.282919
58580.3554514 2 20.3212 0.240036
58568.3157639 2 19.8055 0.275875
58543.3740509 2 20.0752 0.229212
58336.1959606 2 19.0995 0.126793
58296.2336227 2 19.1399 0.143434
58293.2341898 2 19.0669 0.166126
58288.2347685 2 18.8785 0.0717672
58282.1895486 2 18.7928 0.0597574
