ZTF19abexfad 0.046000 Ia
58720.3253356 2 19.4192 0.157051
58717.3050694 2 19.3567 0.134324
58714.3421296 2 19.328 0.16888
58711.292963 2 19.2324 0.185053
58705.1682523 2 19.0531 0.114078
58698.4003588 2 18.8619 0.0899296
58691.3559375 2 18.4663 0.0867487
58688.3561574 2 18.3937 0.082296
58682.2731134 2 18.4789 0.128003
58678.2309375 2 18.7451 0.100652
