ZTF20aakodiq 0.045940 Ia-91T
58979.2435301 1 20.7996 0.33793
58971.4220486 1 20.7836 0.271044
58970.2969213 1 20.6935 0.278905
58968.3121991 1 20.5318 0.221322
58967.2767593 1 20.5334 0.277293
58966.4025231 1 20.6491 0.285867
58965.4051273 1 20.5393 0.207103
58964.3745833 1 20.6826 0.255178
58963.3045486 1 20.4861 0.223938
58955.4010648 1 20.4927 0.235375
58941.4775926 1 20.3021 0.272753
58936.4679051 1 20.1311 0.178708
58914.4842593 1 18.4458 0.108277
58911.5542708 1 18.2069 0.0694359
58911.4274769 1 18.2395 0.0699425
58906.5408912 1 17.7796 0.077455
58898.4441551 1 17.43 0.044325
58893.4992824 1 17.3868 0.0471894
58890.5219676 1 17.5187 0.0587949
58887.4629051 1 17.6899 0.0537398
58884.4667593 1 18.1273 0.0692167
58881.5073264 1 18.7544 0.0686629
58878.5395602 1 19.903 0.183334
