ZTF18acusrws 0.032000 Ia
58572.3079398 2 20.3464 0.299764
58559.2559954 2 20.027 0.240521
58543.3627431 2 19.5318 0.0923727
58534.3978009 2 18.8573 0.203379
58526.4930556 2 18.8794 0.148864
58522.534838 2 18.8069 0.0614534
58514.4255787 2 18.4679 0.0863077
58508.4728819 2 18.0355 0.0570074
58494.4498727 2 17.8006 0.0526566
58491.5387847 2 17.6275 0.0401162
58486.4864236 2 17.2911 0.0501726
58474.4933102 2 17.058 0.0390668
58471.5509491 2 17.198 0.0368514
