ZTF18aayjvve 0.047270 Ia
58353.1630787 2 19.9042 0.198117
58350.1521991 2 19.6753 0.158178
58343.1540278 2 19.7954 0.172873
58337.1925579 2 19.4598 0.141145
58334.1574769 2 19.3577 0.157663
58331.1856019 2 19.2519 0.0977039
58328.2815162 2 19.0011 0.174771
58324.1727778 2 18.7285 0.114817
58321.2149653 2 18.6373 0.08574
58311.1743866 2 18.3531 0.0623294
58297.288125 2 17.6781 0.0651139
58294.2692477 2 17.5905 0.0589443
58291.2573611 2 17.6468 0.0480503
58288.2572917 2 17.7372 0.0343421
58282.2291088 2 18.4057 0.0351641
58279.2565394 2 19.386 0.0830235
